order_id,date,customer_id,customer_name,city,zip_code,county,product_category,product_name,bottles_sold,order_amount,order_amount_sek,volume_sold_liters,volume_sold_gallons
INV-57107400019,2023-03-30,5803,CASEY'S GENERAL STORE #3333 / PLEASANT HILL,PLEASANT HILL,50327.0,POLK,WHITE RUM,BACARDI SUPERIOR PET,2,26.28,262.8,1.5,0.39
INV-57106500030,2023-03-30,10021,WORLD CLASS LIQUOR AND TOBACCO / BONDURANT,BONDURANT,50035.0,POLK,FLAVORED RUM,ADMIRAL NELSON COCONUT,6,54.0,540.0,4.5,1.18
INV-57086300018,2023-03-30,2633,HY-VEE #3 / BDI / DES MOINES,DES MOINES,50320.0,POLK,STRAIGHT RYE WHISKIES,JEFFERSONS OCEAN AGED RYE,6,418.62,4186.2,4.5,1.18
INV-57103200045,2023-03-30,2572,HY-VEE FOOD STORE / CEDAR FALLS,CEDAR FALLS,50613.0,BLACK HAWK,AMERICAN VODKAS,TITOS HANDMADE VODKA,12,237.12,2371.2,12.0,3.17
INV-57094800011,2023-03-30,4428,KUM & GO #200 / AMES,AMES,50014.0,STORY,STRAIGHT BOURBON WHISKIES,JIM BEAM,2,16.8,168.0,0.75,0.19
INV-57088900026,2023-03-30,3629,WAL-MART 1965 / COUNCIL BLUFFS,COUNCIL BLUFFS,51503.0,POTTAWATTAMIE,AMERICAN VODKAS,PHILLIPS VODKA,6,68.4,684.0,10.5,2.77
INV-57094500028,2023-03-30,2853,CVS PHARMACY #10452  /  AMES,AMES,50014.0,STORY,IMPORTED CORDIALS & LIQUEURS,GRAND MARNIER CORDON ROUGE,12,414.0,4140.0,9.0,2.37
INV-57101500015,2023-03-30,6323,"FAREWAY STORES, INC. #225 / DES MOINES",DES MOINES,50310.0,POLK,SINGLE MALT SCOTCH,GLENLIVET FOUNDERS RESERVE,2,77.94,779.4,1.5,0.39
INV-57095700035,2023-03-30,4969,LAKE LIQUORS WINE AND SPIRITS,CLEAR LAKE,50428.0,CERRO GORDO,IMPORTED VODKAS,REYKA VODKA,12,360.0,3600.0,21.0,5.54
INV-57100400006,2023-03-30,5127,PRICE CHOPPER  /  INGERSOLL,DES MOINES,50312.0,POLK,BLENDED WHISKIES,PRAIRIE FIRE,12,163.68,1636.8000000000002,9.0,2.37
INV-57088100019,2023-03-30,6116,TOBACCO OUTLET PLUS #561 / CEDAR FALLS,CEDAR FALLS,50613.0,BLACK HAWK,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY,48,72.0,720.0,4.8,1.26
INV-57103800004,2023-03-30,2571,HY-VEE FOOD STORE #2 / WATERLOO,WATERLOO,50703.0,BLACK HAWK,COCKTAILS/RTD,TOOTERS RAINBOW PACK,1,108.0,1080.0,4.5,1.18
INV-57096800062,2023-03-30,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,MASON CITY,50401.0,CERRO GORDO,SCOTCH WHISKIES,JOHNNIE WALKER RED,1,39.75,397.5,1.75,0.46
INV-57098400034,2023-03-30,2582,HY-VEE #2 FOOD STORE / MASON CITY,MASON CITY,50401.0,CERRO GORDO,AMERICAN VODKAS,BURNETTS VODKA 80PRF,3,20.25,202.5,2.25,0.59
INV-57100500106,2023-03-30,2248,INGERSOLL LIQUOR AND BEVERAGE,DES MOINES,50312.0,POLK,IMPORTED BRANDIES,SOOH CHARLES BAUR POIRE WILLIAM,6,270.0,2700.0,4.5,1.18
INV-57102500016,2023-03-30,2538,HY-VEE FOOD STORE #3 (1866) / WATERLOO,WATERLOO,50702.0,BLACK HAWK,STRAIGHT BOURBON WHISKIES,CABIN STILL STR BOURBON,12,90.0,900.0,12.0,3.17
INV-57086600048,2023-03-30,2663,HY-VEE FOOD STORE / URBANDALE,URBANDALE,50322.0,POLK,AMERICAN SCHNAPPS,99 ROOT BEER MINI,2,15.48,154.8,0.1,0.02
INV-57098600010,2023-03-30,5280,YESWAY STORE # 10011/ MASON CITY,MASON CITY,50401.0,CERRO GORDO,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY,336,504.0,5040.0,33.6,8.87
INV-57108200001,2023-03-30,6129,EAST END LIQUOR / DES MOINES,DES MOINES,50317.0,POLK,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY PARTY COOLER,12,216.0,2160.0,1.2,0.31
INV-57085100071,2023-03-30,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,,,AMERICAN SCHNAPPS,99 LEMON LIME MINI,2,15.48,154.8,0.1,0.02
